name;;;district;area;population;density;;;
中西區;;;Central and Western; 12,55; 243,5;19 410;;;
灣仔區;;;Wan Chai; 10,56; 180,1;17 060;;;
東區;;;Eastern; 17,99; 550,6;30 610;;;
南區;;;Southern; 38,84; 271,8;7 000;;;
油尖旺區;;;Yau Tsim Mong; 6,99; 333,5;47 700;;;
深水埗區;;;Sham Shui Po; 9,36; 423,3;45 230;;;
九龍城區;;;Kowloon City; 10,02; 426,0;42 530;;;
黃大仙區;;;Wong Tai Sin; 9,30; 420,2;45 170;;;
觀塘區;;;Kwun Tong; 11,27; 693,9;61 560;;;
葵青區;;;Kwai Tsing; 23,34; 510,4;21 870;;;
荃灣區;;;Tsuen Wan; 61,94; 315,3;5 090;;;
屯門區;;;Tuen Mun; 83,16; 503,1;6 050;;;
元朗區;;;Yuen Long; 138,48; 650,1;4 690;;;
北區;;;North; 136,48; 317,9;2 330;;;
大埔區;;;Tai Po; 136,12; 309,9;2 280;;;
沙田區;;;Sha Tin; 68,71; 692,5;10 080;;;
西貢區;;;Sai Kung; 129,64; 475,3;3 670;;;
離島區;;;Islands; 177,22; 188,9;1 070;;;