ranking;code;name;population
1;500054;Praha 1;29563 
2;500089;Praha 2;50363 
3;500097;Praha 3;76041 
4;500119;Praha 4;132068 
5;547042;Praha-Kunratice;10023 
6;500143;Praha 5;88225 
7;539678;Praha-Slivenec;3696 
8;500178;Praha 6;107213 
9;547140;Praha-Lysolaje;1509 
10;547158;Praha-Nebušice;3372 
11;539589;Praha-Přední Kopanina;693 
12;547271;Praha-Suchdol;7225 
13;500186;Praha 7;45226 
14;547328;Praha-Troja;1426 
15;500208;Praha 8;106218 
16;538124;Praha-Březiněves;1754 
17;547298;Praha-Ďáblice;3647 
18;547301;Praha-Dolní Chabry;4801 
19;500216;Praha 9;60601 
20;500224;Praha 10;110571 
21;547034;Praha 11;77324 
22;538400;Praha-Křeslice;1117 
23;539724;Praha-Šeberov;3309 
24;539791;Praha-Újezd;3498 
25;547107;Praha 12;57821 
26;547051;Praha-Libuš;10623 
27;539694;Praha 13;63554 
28;539635;Praha-Řeporyje;5205 
29;547361;Praha 14;47761 
30;538175;Praha-Dolní Počernice;2709 
31;547387;Praha 15;34720 
32;547379;Praha-Dolní Měcholupy;3314 
33;538205;Praha-Dubeč;4023 
34;547395;Praha-Petrovice;6035 
35;547409;Praha-Štěrboholy;2367 
36;539601;Praha 16;8694 
37;539449;Praha-Lipence;2911 
38;539465;Praha-Lochkov;828 
39;547115;Praha-Velká Chuchle;2532 
40;539864;Praha-Zbraslav;10049 
41;547174;Praha 17;24075 
42;539899;Praha-Zličín;7258 
43;547417;Praha 18;21516 
44;547310;Praha-Čakovice;11868 
45;547344;Praha 19;7326 
46;538736;Praha-Satalice;2551 
47;539007;Praha-Vinoř;4557 
48;538213;Praha 20;15652 
49;538949;Praha 21;10860 
50;538060;Praha-Běchovice;2733 
51;538302;Praha-Klánovice;3757 
52;538353;Praha-Koloděje;1580 
53;538931;Praha 22;12559 
54;538078;Praha-Benice;704 
55;538361;Praha-Kolovraty;3912 
56;538388;Praha-Královice;407 
57;538531;Praha-Nedvězí;333 